Feature,Importance
cycle,0.5399773388998879
sensor_11,0.14187874917935686
sensor_9,0.04255182329361165
sensor_4,0.0397652513889228
sensor_12,0.03210844907782805
sensor_14,0.0245437776598051
sensor_7,0.023563322453474783
sensor_15,0.021190737682367854
sensor_21,0.02049552671908235
sensor_2,0.01908925391244982
sensor_3,0.018950093262928017
op_setting_1,0.015780793048288905
sensor_20,0.015315124836121727
sensor_8,0.014496505022813279
sensor_13,0.01400202129065419
op_setting_2,0.009534570211711476
sensor_17,0.00622790383111914
sensor_6,0.0005287582295759786
